"Alias","TotalInProgressDuration","TotalIdleDuration","OverallDuration","TotalQueuedDuration","TotalDataReplicationWaitDuration","TotalSuspendedDuration","SourceProviderDuration","DestinationProviderDuration","RelinquishedDurationInTicks","TotalStalledDueToCIInTicks","TotalStalledDueToHAInTicks","TotalStalledDueToTargetCpuInTicks","TotalStalledDueToSourceCpuInTicks","TotalStalledDueToMailboxLockedDurationInTicks","TotalStalledDueToSourceProxyUnknownInTicks","TotalStalledDueToTargetProxyUnknownInTicks","SourceLatencySampleCount","AverageSourceLatency","TotalNumberOfSourceSideRemoteCalls","DestinationLatencySampleCount","AverageDestinationLatency","TotalNumberOfDestinationSideRemoteCalls","WordBreaking_TotalTimeProcessingMessagesInTicks","TotalTransientFailureDurationInTicks","TotalInProgressDurationInTicks","MailboxSizeInMB","TransferredMailboxSizeInMB","PerMoveRate","BytesTransferredInMB","PerMoveTransferRate"
"she07","01:20:21.3779419","16:50:11.1350074","2.20:35:18.0564694","01:43:24.6103370",,"2.00:45:35.1501415","00:05:54.0026272","00:57:05.6564007","603569180490",,,"1393284003","0","0","0","0","0","0","0","0","0","0","10200349301","0","48213779419","2324,36322116852","2208,14506011009","1648,76562513655","2419,05729675293","1806,24841554709"
"mkn04","03:10:05.1610204","1.18:53:11.5420350","2.20:49:38.3551877","06:40:13.2343002",,"16:55:40.4055934","00:13:26.3138107","02:04:50.4187832","1514195542737",,,"1543918571","0","0","0","0","0","0","0","0","0","0","17526273469","0","114051610204","5492,15715026855","5217,54929275513","1646,90155801586","5638,28076457977","1779,70400559722"
"gkc01","08:33:45.7278162","02:47:27.9832250","1.00:03:30.6734772","13:07:08.4657159",,"00:00:00","00:21:08.3853128","07:45:15.3682258","-1507629946567",,,"0","0","0","0","0","0","0","0","0","0","0","25693588801","0","308257278162","15097,3777484894","14342,5088610649","1674,99798245473","15229,876206398","1778,62967810347"
"neg05","01:20:49.8630988","18:48:06.2738905","2.20:25:44.0239763","07:32:44.0537690",,"1.15:25:52.9256085","00:06:28.7414282","00:55:26.5133782","723771815000",,,"0","0","0","0","0","0","0","0","0","0","0","7265529277","0","48498630988","2183,3305644989","2074,16403627396","1539,62913560051","2306,06832695007","1711,76913819988"
"jfj07","02:47:13.7574997","1.13:57:27.8449323","2.20:31:30.8216046","10:10:06.3236946",,"17:47:49.5685746","00:10:35.2658521","01:59:46.2972428","1359811718357",,,"0","0","0","0","0","0","0","0","0","0","0","15746896016","0","100337574997","4665,5790681839","4432,3001147747","1590,25972210969","4721,9903717041","1694,19734716959"
"han05","03:24:08.3220728","1.12:09:34.3688999","2.20:25:53.9302472","23:18:47.1828875",,"04:32:51.8076454","00:14:58.8987563","02:31:43.4492229","1338066176415",,,"0","0","0","0","0","0","0","0","0","0","0","16640091027","0","122483220728","7851,77576541901","5731,79630875587","1684,67701852357","5583,35410499573","1641,04721108054"
"obn05","04:11:20.4407203","1.23:45:23.2782251","2.20:35:01.7439338","06:30:05.3431329",,"10:00:35.8403890","00:18:40.9932054","02:58:30.6618659","1723801196916",,,"1515628320","0","0","0","0","0","0","0","0","0","0","29174484666","0","150804407203","6699,55369663239","6364,57601180077","1519,35040012723","6853,73218345642","1636,12167031895"
"fgl07","03:54:35.5100767","1.19:30:49.4995695","2.20:36:04.3846924","05:24:22.9389550",,"15:03:54.2974130","00:14:19.3293689","02:58:26.0900198","1591916382477",,,"1110158524","0","0","0","0","0","0","0","0","0","0","21222862564","0","140755100767","6063,11533737183","5759,95957050324","1473,18671513986","6336,59048843384","1620,66778639329"
"tjh05","01:35:16.2807436","20:20:26.9957942","2.20:34:26.5094842","05:47:56.4055088",,"1.16:27:38.3086044","00:06:44.8538928","01:03:33.4046747","746155146274",,,"1466721621","0","0","0","0","0","0","0","0","0","0","10310259559","0","57162807436","2421,78049659729","2300,69147176743","1448,92976217725","2543,23754692078","1601,68045965299"
"whn05","02:58:56.5551271","1.12:24:07.9201862","2.20:36:27.1503715","04:39:26.2912985",,"23:42:13.8625942","00:13:11.1406456","02:12:42.7018867","1341504413517",,,"1092502119","0","0","0","0","0","0","0","0","0","0","18996651419","0","107365551271","4603,00355625153","4372,85337843895","1466,2312050767","4763,08094978333","1597,07571155102"
